gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Predicted Churn
1,0,1,0,0.0,0,0,0,1,0,0,0,0,1,0.1154228855721393,0.001275098084468,1,0,0,1,0,0,0,0,1,0,1
0,0,0,0,0.4647887323943662,1,0,1,0,1,0,0,0,0,0.3850746268656716,0.215866605123471,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0.0140845070422535,1,0,1,1,0,0,0,0,1,0.354228855721393,0.0103104084929609,1,0,0,1,0,0,0,0,0,1,1
0,0,0,0,0.619718309859155,0,0,1,0,1,1,0,0,0,0.2393034825870646,0.2102411723978767,1,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0.0140845070422535,1,0,0,0,0,0,0,0,1,0.5218905472636816,0.0153300253865681,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0.0985915492957746,1,1,0,0,1,0,1,1,1,0.8099502487562189,0.0925109623817216,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1,0.295774647887324,1,1,0,1,0,0,1,0,1,0.7049751243781094,0.222778675282714,0,1,0,1,0,0,0,1,0,0,1
1,0,0,0,0.1267605633802817,0,0,1,0,0,0,0,0,0,0.1144278606965173,0.0326678975305792,1,0,0,1,0,0,0,0,0,1,1
1,0,1,0,0.3802816901408451,1,1,0,0,1,1,1,1,1,0.8611940298507462,0.3493249480729287,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1,0.8591549295774649,1,0,1,1,0,0,0,0,0,0.3771144278606965,0.4003173321024694,1,0,0,0,1,0,1,0,0,0,0
0,0,1,1,0.1690140845070422,1,0,1,0,0,0,0,0,1,0.3154228855721393,0.0656185091160858,1,0,0,1,0,0,0,0,0,1,1
0,0,0,0,0.2112676056338028,1,0,0,0,0,0,0,0,0,0.0069651741293532,0.0355411954765751,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0.8028169014084507,1,1,0,0,1,0,1,1,0,0.8169154228855721,0.6533925686591276,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,0.676056338028169,1,1,0,1,1,0,1,1,1,0.8502487562189055,0.578986845141934,0,1,0,1,0,0,1,0,0,0,1
0,0,0,0,0.3380281690140845,1,0,1,0,1,1,1,1,1,0.8681592039800995,0.3077832910223863,0,1,0,1,0,0,0,0,1,0,1
1,0,1,1,0.9577464788732396,1,1,1,1,1,1,1,1,0,0.945273631840796,0.9088795291945534,0,1,0,0,0,1,0,1,0,0,0
1,0,0,0,0.7183098591549296,1,0,0,0,0,0,0,0,0,0.0238805970149253,0.1158723747980614,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0.9859154929577464,1,1,1,0,1,0,1,1,0,0.8800995024875623,0.8496942072467113,0,1,0,0,0,1,1,0,0,0,0
1,0,1,1,0.1267605633802817,1,0,0,0,1,1,0,0,0,0.3676616915422885,0.0587987537502884,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0.2816901408450704,1,0,0,1,1,0,0,1,1,0.7144278606965173,0.2127971382414032,0,1,0,1,0,0,0,0,1,0,1
0,1,0,0,0.0,0,0,0,0,1,0,0,1,1,0.2129353233830845,0.0024059543041772,1,0,0,1,0,0,0,0,1,0,1
0,0,1,0,0.1549295774647887,1,0,0,0,0,0,0,0,0,0.0154228855721393,0.0211689360720055,0,0,1,0,1,0,1,0,0,0,0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0189054726368158,0.0001557812139395,0,0,1,1,0,0,0,0,0,1,0
1,0,1,0,0.8028169014084507,1,1,0,1,0,1,0,0,1,0.4144278606965174,0.4022963304869605,1,0,0,0,0,1,0,1,0,0,0
0,0,1,1,0.676056338028169,1,0,1,1,0,1,0,0,0,0.4114427860696518,0.3405838910685437,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0.4084507042253521,1,0,1,1,0,0,0,0,1,0.3686567164179104,0.1744518809139164,1,0,0,1,0,0,1,0,0,0,1
0,0,1,1,0.647887323943662,1,1,0,1,0,0,1,1,1,0.8069651741293532,0.545851603969536,0,1,0,1,0,0,0,0,1,0,1
0,0,1,1,0.0,0,0,0,1,0,0,0,0,0,0.1189054726368158,0.0013154858066005,1,0,0,1,0,0,0,0,1,0,1
0,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0.7164179104477612,0.7328236787445188,1,0,0,0,0,1,0,1,0,0,0
1,0,0,1,0.2253521126760563,1,0,0,0,0,0,1,1,1,0.4621890547263682,0.1239672282483267,1,0,0,1,0,0,0,0,0,1,1
1,1,1,0,0.9859154929577464,1,1,1,1,1,1,0,0,1,0.7771144278606964,0.778692591737826,0,1,0,0,0,1,0,1,0,0,0
